Band,Date,Venue
Phish,6/21/2009,Alpine Valley Music Theatre
Phish,6/11/2010,Toyota Park
Phish,8/17/2011,UIC Pavilion
Bassnectar,10/1/2011,US Cellular Coliseum
EOTO,10/1/2011,US Cellular Coliseum
Phish,6/30/2012,Alpine Valley Music Theatre
Andrew Bird,7/8/2012,Kane County Ballpark
Wilco,7/8/2012,Kane County Ballpark
Phutureprimitive,9/21/2012,Canopy Club
Shpongle,9/21/2012,Canopy Club
Andrew Bird,12/21/2012,Fourth Presbyterian Church
Majical Cloudz,5/15/2013,Metro
Youth Lagoon,5/15/2013,Metro
Bob Dylan,7/12/2013,Toyota Park
My Morning Jacket,7/12/2013,Toyota Park
Richard Thompson Trio,7/12/2013,Toyota Park
Wilco,7/12/2013,Toyota Park
Phish,7/20/2013,Northerly Island
Night Moves,8/1/2013,Lincoln Hall
Father John Misty,8/1/2013,Lincoln Hall
Band of Horses,8/3/2013,Metro
Reignwolf,8/3/2013,Metro
Bonobo,10/18/2013,Riviera Theater
Andrew Bird,12/12/2013,Fourth Presbyterian Church
Keller Williams,1/23/2014,Canopy Club
Emancipator,1/28/2014,Castle Theater
Odesza,1/28/2014,Castle Theater
Family Groove Company,2/1/2014,Castle Theater
The Giving Tree Band,2/1/2014,Castle Theater
Classixx,3/7/2014,Double Door
Gems,3/7/2014,Double Door
Chad Valley,3/14/2014,Metro
Dale Earnhardt Jr. Jr.,3/14/2014,Metro
Pure X,3/27/2014,Metro
Real Estate,3/27/2014,Metro
Old Shoe,3/29/2014,Castle Theater
The Ragbirds,3/29/2014,Castle Theater
Braids,5/13/2014,Metro
Wye Oak,5/13/2014,Metro
Haim,5/17/2014,Riviera Theater
Tennis,5/17/2014,Riviera Theater
First Aid Kit,6/4/2014,Park West
Willy Mason,6/4/2014,Park West
Cults,6/5/2014,UIC Pavilion
Vampire Weekend,6/5/2014,UIC Pavilion
Hamilton Leithauser,6/19/2014,Evanston Space
Courtney Barnett,6/23/2014,Schubas
The Antlers,6/29/2014,Lincoln Hall
Yellow Ostrich,6/29/2014,Lincoln Hall
Tweedy,7/17/2014,Lincoln Hall
Phish,7/19/2014,Northerly Island
Deafheaven,7/20/2014,Pitchfork Music Festival 2014
Kendrick Lamar,7/20/2014,Pitchfork Music Festival 2014
Mutual Benefit,7/20/2014,Pitchfork Music Festival 2014
Schoolboy Q,7/20/2014,Pitchfork Music Festival 2014
Slowdive,7/20/2014,Pitchfork Music Festival 2014
Mike Wheeler,7/25/2014,Rosa's
Hop Along,7/26/2014,Wicker Park Festival
Flashlights,8/1/2014,Hard Rock Cafe
"Portugal, The Man",8/1/2014,Hard Rock Cafe
Duke Dumont,8/2/2014,Concord Music Hall
Flume,8/2/2014,Concord Music Hall
Andrew Bird,8/16/2014,Chicago Theater
Daniel Knox,8/16/2014,Chicago Theater
Death Cab For Cutie,9/5/2014,Hideout Block Party 2014
Hamilton Leithauser,9/5/2014,Hideout Block Party 2014
Jon Langford,9/5/2014,Hideout Block Party 2014
The Handsome Family,9/5/2014,Hideout Block Party 2014
Dismemberment Plan,9/6/2014,Hideout Block Party 2014
Empires,9/6/2014,Hideout Block Party 2014
Mac Demarco,9/6/2014,Hideout Block Party 2014
Sylvan Esso,9/6/2014,Hideout Block Party 2014
The Meters,9/6/2014,Hideout Block Party 2014
The War on Drugs,9/6/2014,Hideout Block Party 2014
Valerie June,9/6/2014,Hideout Block Party 2014
Foster The People,9/13/2014,The Rave
The Velvet Teen,9/13/2014,The Rave
EMA,9/16/2014,Chicago Theater
Spoon,9/16/2014,Chicago Theater
